local_time,status_temperatuur,temperatuur_hoog,temperatuur_laag,kastemperatuur
18/09/2022 4:05 PM,0,20,15,18.5
18/09/2022 4:10 PM,0,20,15,18.5
18/09/2022 4:15 PM,0,20,15,18.4
18/09/2022 4:20 PM,0,20,15,18.4
18/09/2022 4:25 PM,0,24,16,18.3
18/09/2022 4:30 PM,0,20,15,18.2
18/09/2022 4:35 PM,0,20,15,18.2
18/09/2022 4:40 PM,0,24,16,18.1
18/09/2022 4:45 PM,0,20,15,18
18/09/2022 4:50 PM,0,24,16,18
18/09/2022 4:55 PM,0,20,15,18
18/09/2022 5:00 PM,0,20,15,17.9
18/09/2022 5:05 PM,0,20,15,17.8
18/09/2022 5:10 PM,0,20,15,17.7
18/09/2022 5:15 PM,0,20,15,17.6
18/09/2022 5:20 PM,0,20,15,17.6
18/09/2022 5:25 PM,0,20,15,17.6
18/09/2022 5:30 PM,0,20,15,17.6
18/09/2022 5:35 PM,0,20,15,17.5
18/09/2022 5:40 PM,0,20,15,17.5
18/09/2022 5:45 PM,0,20,15,17.5
18/09/2022 5:50 PM,0,20,15,17.5
18/09/2022 5:55 PM,0,20,15,17.5
18/09/2022 6:00 PM,0,20,15,17.6
18/09/2022 6:05 PM,0,20,15,17.6
18/09/2022 6:10 PM,0,20,15,17.5
18/09/2022 6:15 PM,0,20,15,17.6
18/09/2022 6:20 PM,0,20,15,17.7
18/09/2022 6:25 PM,0,20,15,17.7
18/09/2022 6:30 PM,0,20,15,17.6
18/09/2022 6:35 PM,0,20,15,17.7
18/09/2022 6:40 PM,0,20,15,17.7
18/09/2022 6:45 PM,0,20,15,17.7
18/09/2022 6:50 PM,0,20,15,17.6
18/09/2022 6:55 PM,0,20,15,17.6
18/09/2022 7:00 PM,0,20,15,17.6
18/09/2022 7:05 PM,0,20,15,17.6
18/09/2022 7:10 PM,0,20,15,17.6
18/09/2022 7:15 PM,0,20,15,17.5
18/09/2022 7:20 PM,0,20,15,17.5
18/09/2022 7:25 PM,0,20,15,17.5
18/09/2022 7:30 PM,0,20,15,17.6
18/09/2022 7:35 PM,0,20,15,17.6
18/09/2022 7:40 PM,0,20,15,17.7
18/09/2022 7:45 PM,0,20,15,17.8
18/09/2022 7:50 PM,0,20,15,17.8
18/09/2022 7:55 PM,0,20,15,17.8
18/09/2022 8:00 PM,0,20,15,17.8
18/09/2022 8:05 PM,0,20,15,17.7
18/09/2022 8:10 PM,0,20,15,17.3
18/09/2022 8:15 PM,0,20,15,17
18/09/2022 8:20 PM,0,20,15,16.8
18/09/2022 8:25 PM,0,20,15,16.9
18/09/2022 8:30 PM,0,20,15,16.6
18/09/2022 8:35 PM,0,20,15,16.2
18/09/2022 8:40 PM,0,20,15,16.2
18/09/2022 8:45 PM,0,20,15,16.1
18/09/2022 8:50 PM,0,20,15,16.2
18/09/2022 8:55 PM,0,20,15,16.3
18/09/2022 9:00 PM,0,20,15,16.3
18/09/2022 9:05 PM,0,20,15,16.3
18/09/2022 9:10 PM,0,20,15,16.2
18/09/2022 9:15 PM,0,20,15,16.3
18/09/2022 9:20 PM,0,20,15,16.2
18/09/2022 9:25 PM,0,20,15,15.9
18/09/2022 9:30 PM,0,20,15,15.8
18/09/2022 9:35 PM,0,20,15,15.8
18/09/2022 9:40 PM,0,20,15,15.8
18/09/2022 9:45 PM,0,20,15,15.7
18/09/2022 9:50 PM,0,20,15,15.6
18/09/2022 9:55 PM,0,20,15,15.5
18/09/2022 10:00 PM,0,20,15,15.5
