local_time,status_temperatuur,temperatuur_hoog,temperatuur_laag,kastemperatuur
28/09/2022 1:40 AM,0,20,15,15.2
28/09/2022 1:45 AM,0,20,15,15.2
28/09/2022 1:50 AM,0,20,15,15.1
28/09/2022 1:55 AM,0,20,15,15.1
28/09/2022 2:00 AM,0,20,15,15
28/09/2022 2:05 AM,0,20,15,15
28/09/2022 2:10 AM,0,20,15,15
28/09/2022 2:15 AM,0,20,15,15
28/09/2022 2:20 AM,0,20,15,15
28/09/2022 2:25 AM,0,20,15,15
28/09/2022 2:30 AM,1,20,15,14.9
28/09/2022 2:35 AM,1,20,15,14.9
28/09/2022 2:40 AM,1,20,15,14.9
28/09/2022 2:45 AM,1,20,15,14.9
28/09/2022 2:50 AM,1,20,15,14.9
28/09/2022 2:55 AM,1,20,15,14.8
28/09/2022 3:00 AM,1,20,15,14.8
28/09/2022 3:05 AM,1,20,15,14.8
28/09/2022 3:10 AM,1,20,15,14.8
28/09/2022 3:15 AM,1,20,15,14.7
28/09/2022 3:20 AM,1,20,15,14.8
28/09/2022 3:25 AM,1,20,15,14.7
28/09/2022 3:30 AM,1,20,15,14.7
28/09/2022 3:35 AM,1,20,15,14.7
28/09/2022 3:40 AM,1,20,15,14.7
28/09/2022 3:45 AM,1,20,15,14.8
28/09/2022 3:50 AM,1,20,15,14.8
28/09/2022 3:55 AM,1,20,15,14.8
28/09/2022 4:00 AM,1,20,15,14.8
28/09/2022 4:05 AM,1,20,15,14.8
28/09/2022 4:10 AM,1,20,15,14.8
28/09/2022 4:15 AM,1,20,15,14.9
28/09/2022 4:20 AM,1,20,15,14.9
28/09/2022 4:25 AM,1,20,15,14.9
28/09/2022 4:30 AM,0,20,15,15
28/09/2022 4:35 AM,0,20,15,15
28/09/2022 4:40 AM,0,20,15,15
28/09/2022 4:45 AM,0,20,15,15.1
28/09/2022 4:50 AM,0,20,15,15.2
28/09/2022 4:55 AM,0,20,15,15.2
28/09/2022 5:00 AM,0,20,15,15.2
28/09/2022 5:05 AM,0,20,15,15.3
28/09/2022 5:10 AM,0,20,15,15.4
28/09/2022 5:15 AM,0,20,15,15.5
28/09/2022 5:20 AM,0,20,15,15.6
28/09/2022 5:25 AM,0,20,15,15.6
28/09/2022 5:30 AM,0,20,15,15.7
28/09/2022 5:35 AM,0,20,15,15.8
28/09/2022 5:40 AM,0,20,15,15.9
28/09/2022 5:45 AM,0,20,15,15.9
28/09/2022 5:50 AM,0,20,15,15.9
28/09/2022 5:55 AM,0,20,15,15.9
28/09/2022 6:00 AM,0,20,15,16
28/09/2022 6:05 AM,0,20,15,16
28/09/2022 6:10 AM,0,20,15,16.1
28/09/2022 6:15 AM,0,20,15,16.1
28/09/2022 6:20 AM,0,20,15,16.1
28/09/2022 6:25 AM,0,20,15,16.1
